description_length,type,priority,estimated_days,story_points,num_comments,avg_comment_length,sprint_days_given,is_problematic
157,Story,Minor,0,2,1,119.0000,27,1
154,Story,Minor,0,2,1,119.0000,27,1
156,Story,Minor,0,3,1,83.0000,41,1
144,Story,Minor,0,2,,,27,1
376,Story,Minor,0,5,,,41,1
232,Bug,Minor,0,2,,,58,1
196,Story,Minor,0,0,1,75.0000,87,1
57,Story,Minor,0,3,,,14,1
144,Story,Minor,0,5,1,99.0000,14,1
146,Story,Minor,0,3,,,14,1
0,Story,Minor,0,2,,,14,1
170,Story,Minor,0,3,1,109.0000,14,1
171,Story,Minor,0,5,,,28,1
97,Story,Minor,0,5,,,14,1
344,Bug,Minor,0,1,8,305.3750,14,1
347,Story,Minor,0,8,,,15,1
144,Story,Minor,0,1,1,165.0000,15,1
190,Bug,Minor,0,2,,,74,1
129,Bug,Major,0,3,,,15,1
226,Story,Minor,0,5,2,480.0000,43,1
177,Story,Minor,0,2,1,75.0000,43,1
98,Story,Minor,0,2,,,43,1
32,Story,Minor,0,2,,,43,1
91,Story,Minor,0,1,2,43.5000,43,1
77,Story,Minor,0,1,2,47.0000,43,1
216,Story,Minor,0,1,,,43,1
151,Story,Minor,0,2,,,43,1
170,Story,Minor,0,3,1,51.0000,2,1
354,Bug,Minor,0,3,1,113.0000,16,1
133,Story,Minor,0,5,1,93.0000,16,1
249,Story,Minor,0,5,1,232.0000,44,1
212,Story,Minor,0,5,,,2,1
196,Story,Minor,0,8,,,44,1
186,Story,Minor,0,5,,,2,1
170,Story,Minor,0,3,1,142.0000,16,1
114,Story,Minor,0,8,,,2,1
259,Story,Minor,0,5,1,220.0000,2,1
193,Story,Minor,0,3,1,91.0000,2,1
136,Story,Minor,0,3,,,2,1
195,Story,Minor,0,5,,,2,1
226,Story,Minor,0,5,,,44,1
81,Bug,Minor,0,2,,,6,1
444,Bug,Major,0,0,3,438.0000,20,1
79,Improvement,Minor,0,3,1,136.0000,136,1
402,Story,Major,0,5,1,524.0000,26,1
566,Story,Major,0,5,,,40,1
1230,Story,Major,0,8,1,126.0000,40,1
366,Story,Minor,0,5,2,80.0000,14,1
212,Bug,Major,0,5,,,14,1
152,Story,Minor,0,1,,,42,1
135,Story,Minor,0,3,1,9.0000,14,1
217,Story,Minor,0,3,1,155.0000,29,1
238,Story,Minor,0,5,,,15,1
175,Story,Minor,0,3,,,15,1
366,Story,Minor,0,5,1,218.0000,29,1
262,Bug,Minor,0,2,2,373.0000,16,1
505,Story,Minor,0,8,3,121.3333,17,1
113,Bug,Minor,0,2,,,20,1
299,Story,Critical,0,1,,,5,1
67,Story,Minor,0,3,,,35,1
353,Story,Minor,0,3,,,7,1
217,Story,Minor,0,3,,,11,1
341,Technical task,Minor,0,3,1,84.0000,41,1
0,Technical task,Minor,0,2,,,12,1
55,Technical task,Minor,0,2,,,12,1
108,Story,Minor,0,1,1,33.0000,12,1
158,Story,Minor,0,2,1,33.0000,12,1
145,Story,Minor,0,1,,,13,1
804,Bug,Minor,0,3,2,81.5000,13,1
98,Story,Minor,0,3,,,115,1
496,Story,Minor,0,8,1,187.0000,13,1
73,Story,Minor,0,1,2,48.0000,13,1
146,Story,Minor,0,5,2,78.0000,14,1
122,Story,Minor,0,1,,,14,1
232,Story,Minor,0,8,1,51.0000,14,1
185,Story,Minor,0,8,1,34.0000,14,1
180,Story,Minor,0,8,1,33.0000,14,1
181,Story,Minor,0,8,,,14,1
195,Story,Minor,0,8,1,113.0000,88,1
173,Story,Minor,0,8,,,14,1
974,Story,Minor,0,3,1,411.0000,14,1
472,Bug,Blocker,0,2,,,1,1
135,Bug,Minor,0,1,,,2,1
385,Improvement,Minor,0,1,1,150.0000,15,1
364,Bug,Critical,0,5,1,121.0000,5,1
58,Bug,Minor,0,2,,,148,1
789,Bug,Blocker,0,2,,,6,1
180,Story,Minor,0,1,1,66.0000,15,1
144,Story,Minor,0,5,,,15,1
183,Story,Minor,0,8,4,595.5000,15,1
131,Story,Minor,0,8,1,217.0000,28,1
139,Story,Minor,0,8,1,142.0000,16,1
245,Story,Minor,0,8,1,124.0000,29,1
331,Story,Minor,0,8,1,143.0000,16,1
377,Story,Minor,0,8,2,354.0000,16,1
245,Story,Minor,0,3,,,4,1
728,Bug,Major,0,1,1,58.0000,20,1
151,Story,Minor,0,1,,,6,1
419,Story,Minor,0,1,1,38.0000,35,1
348,Bug,Minor,0,1,,,10,1
219,Story,Minor,0,1,,,12,1
10255,Bug,Critical,0,3,,,12,1
21,Story,Minor,0,2,,,12,1
210,Story,Minor,0,1,2,229.0000,13,1
290,Story,Minor,0,8,1,457.0000,13,1
177,Story,Minor,0,8,1,32.0000,14,1
289,Story,Minor,0,3,,,14,1
0,Story,Minor,0,3,2,113.5000,30,1
102,Story,Minor,0,3,,,14,1
136,Story,Minor,0,2,1,125.0000,14,1
1094,Bug,Minor,0,0,1,56.0000,4,1
115,Story,Minor,0,1,1,104.0000,17,1
120,Story,Minor,0,1,,,17,1
122,Story,Minor,0,1,,,17,1
2775,Bug,Critical,0,3,,,4,1
98,Story,Minor,0,1,,,4,1
113,Story,Blocker,0,3,,,5,1
164,Bug,Minor,0,1,,,6,1
197,Bug,Critical,0,5,4,235.0000,19,1
157,Story,Minor,0,1,,,6,1
131,Story,Minor,0,2,,,19,1
104,Story,Minor,0,1,,,6,1
1453,Bug,Minor,0,5,1,59.0000,20,1
2734,Bug,Minor,0,2,,,7,1
60,Bug,Minor,0,1,,,8,1
4904,Bug,Major,0,3,,,21,1
141,Bug,Minor,0,1,,,8,1
167,Bug,Minor,0,1,,,8,1
132,Story,Minor,0,1,,,8,1
375,Story,Minor,0,3,,,37,1
298,Story,Minor,0,2,1,677.0000,37,1
108,Bug,Critical,0,3,,,8,1
0,Bug,Minor,0,1,1,104.0000,8,1
151,Story,Minor,0,2,,,54,1
750,Story,Minor,0,1,,,12,1
34,Story,Minor,0,3,,,12,1
20,Story,Minor,0,1,2,314.0000,25,1
0,Story,Minor,0,2,3,133.6667,25,1
93,Story,Minor,0,3,,,13,1
521,Story,Minor,0,2,1,123.0000,13,1
0,Story,Minor,0,1,,,13,1
131,Story,Minor,0,2,,,14,1
4292,Bug,Minor,0,2,4,255.2500,14,1
170,Story,Minor,0,3,,,14,1
119,Story,Minor,0,2,2,121.0000,14,1
126,Story,Minor,0,1,,,14,1
0,Story,Minor,0,1,,,14,1
160,Story,Minor,0,3,,,14,1
290,Story,Minor,0,8,2,86.5000,14,1
0,Story,Minor,0,1,,,14,1
0,Story,Minor,0,5,,,18,1
59,Story,Minor,0,3,,,1,1
0,Story,Minor,0,1,,,1,1
170,Bug,Minor,0,2,1,222.0000,1,1
780,Bug,Minor,0,1,1,40.0000,1,1
582,Story,Minor,0,2,,,1,1
0,Story,Minor,0,1,,,1,1
210,Bug,Major,0,2,2,188.5000,19,1
80,Story,Minor,0,1,,,19,1
215,Bug,Minor,0,1,,,2,1
455,Bug,Minor,0,3,3,325.6667,3,1
0,Story,Minor,0,3,,,3,1
9305,Bug,Critical,0,3,,,3,1
1763,Bug,Major,0,5,6,759.3333,21,1
3609,Bug,Critical,0,8,14,470.8571,92,1
265,Story,Minor,0,3,,,4,1
943,Story,Minor,0,1,2,67.5000,4,1
273,Bug,Minor,0,1,,,4,1
79,Bug,Minor,0,1,,,4,1
134,Story,Minor,0,3,1,148.0000,4,1
147,Story,Minor,0,8,1,133.0000,4,1
870,Story,Major,0,5,1,84.0000,22,1
2377,Bug,Major,0,3,1,81.0000,7,1
1997,Bug,Critical,0,3,2,140.5000,7,1
267,Story,Minor,0,3,,,7,1
252,Improvement,Minor,0,3,,,8,1
